word,index
"blank, reserved to padding",0
i,1
new,2
percent,3
people,4
year,5
two,6
million,7
president,8
last,9
government,10
years,11
first,12
police,13
state,14
states,15
officials,16
soviet,17
united,18
bush,19
time,20
three,21
billion,22
today,23
national,24
told,25
american,26
thursday,27
federal,28
house,29
week,30
court,31
day,32
tuesday,33
made,34
news,35
wednesday,36
monday,37
friday,38
say,39
company,40
city,41
party,42
just,43
group,44
york,45
market,46
report,47
department,48
military,49
south,50
union,51
members,52
home,53
west,54
political,55
reported,56
make,57
going,58
office,59
get,60
spokesman,61
dont,62
world,63
like,64
four,65
think,66
committee,67
back,68
work,69
defense,70
says,71
country,72
war,73
congress,74
nations,75
foreign,76
official,77
public,78
trade,79
take,80
prices,81
month,82
general,83
economic,84
five,85
air,86
money,87
stock,88
called,89
found,90
dukakis,91
days,92
campaign,93
law,94
months,95
program,96
case,97
asked,98
workers,99
administration,100
late,101
business,102
east,103
meeting,104
support,105
earlier,106
chief,107
service,108
plan,109
white,110
go,111
help,112
north,113
ago,114
early,115
board,116
major,117
killed,118
oil,119
force,120
expected,121
mrs,122
minister,123
yearold,124
washington,125
john,126
end,127
security,128
good,129
saying,130
international,131
agreement,132
came,133
system,134
democratic,135
bill,136
reagan,137
bank,138
night,139
leader,140
miles,141
man,142
agency,143
senate,144
high,145
attorney,146
drug,147
long,148
sunday,149
school,150
children,151
chairman,152
family,153
left,154
statement,155
talks,156
held,157
higher,158
director,159
number,160
sales,161
judge,162
rose,163
six,164
leaders,165
inc,166
death,167
know,168
rights,169
announced,170
past,171
interest,172
decision,173
see,174
authorities,175
put,176
power,177
control,178
dollar,179
army,180
gorbachev,181
life,182
march,183
black,184
april,185
price,186
charges,187
area,188
vote,189
second,190
central,191
countries,192
vice,193
forces,194
budget,195
center,196
show,197
secretary,198
times,199
pay,200
republican,201
died,202
issue,203
fire,204
economy,205
trial,206
weeks,207
saturday,208
students,209
corp,210
men,211
troops,212
got,213
share,214
come,215
trading,216
co,217
give,218
prison,219
university,220
cents,221
ms,222
right,223
close,224
hospital,225
recent,226
member,227
aid,228
women,229
june,230
lower,231
conference,232
rate,233
german,234
little,235
rates,236
hours,237
problems,238
district,239
presidential,240
increase,241
released,242
industry,243
health,244
policy,245
reporters,246
exchange,247
information,248
issues,249
th,250
im,251
taken,252
away,253
sen,254
went,255
tax,256
top,257
far,258
am,259
food,260
fell,261
record,262
labor,263
capital,264
head,265
communist,266
groups,267
county,268
peace,269
added,270
condition,271
july,272
germany,273
received,274
thats,275
press,276
iraq,277
order,278
financial,279
employees,280
television,281
opposition,282
america,283
california,284
agreed,285
average,286
reports,287
big,288
human,289
eastern,290
george,291
offer,292
election,293
water,294
companies,295
largest,296
place,297
robert,298
outside,299
known,300
point,301
wife,302
job,303
private,304
change,305
europe,306
james,307
san,308
southern,309
services,310
rep,311
didnt,312
attack,313
total,314
jackson,315
local,316
points,317
street,318
plans,319
council,320
cost,321
lost,322
building,323
action,324
japan,325
investigation,326
move,327
community,328
newspaper,329
small,330
scheduled,331
need,332
cut,333
accused,334
believe,335
return,336
index,337
texas,338
seven,339
nation,340
executive,341
israel,342
morning,343
trying,344
arrested,345
half,346
prime,347
association,348
radio,349
sent,350
medical,351
shot,352
gave,353
met,354
eight,355
continue,356
interview,357
won,358
keep,359
americans,360
thousands,361
working,362
possible,363
strong,364
soldiers,365
great,366
free,367
special,368
refused,369
open,370
justice,371
michael,372
third,373
led,374
africa,375
best,376
london,377
deal,378
japanese,379
analysts,380
contract,381
western,382
real,383
face,384
elections,385
call,386
plant,387
yen,388
making,389
filed,390
town,391
study,392
future,393
planned,394
british,395
charged,396
closed,397
production,398
leave,399
important,400
taking,401
problem,402
officer,403
organization,404
officers,405
kuwait,406
spending,407
front,408
likely,409
iraqi,410
de,411
proposal,412
farmers,413
better,414
telephone,415
proposed,416
lot,417
things,418
final,419
wanted,420
based,421
commission,422
allow,423
allowed,424
involved,425
legislation,426
victims,427
space,428
sold,429
senior,430
bid,431
session,432
northern,433
name,434
gold,435
church,436
done,437
release,438
jobs,439
shares,440
failed,441
large,442
seen,443
side,444
sources,445
ordered,446
young,447
moscow,448
continued,449
st,450
futures,451
meet,452
deficit,453
strike,454
negotiations,455
social,456
computer,457
violence,458
supreme,459
research,460
provide,461
areas,462
flight,463
democrats,464
previous,465
old,466
richard,467
despite,468
run,469
car,470
look,471
approved,472
annual,473
calls,474
gulf,475
hope,476
products,477
paid,478
care,479
